repo_name,stars,issues,open_prs,closed_prs,total_prs,language,is_fork,url,size_mb,uses_travis,travis_start_date,travis_end_date,travis_duration_days,total_LOC,test_LOC,commits_before_CI,commits_after_CI,total_committers,test_changes_per_commit,commits_for_test,project_start_date,project_end_date,total_duration,testloc_beforeci,testloc_afterci,domain
balderdashy/sails,22876,591,78,876,954,JavaScript,FALSE,https://github.com/balderdashy/sails,12.87,TRUE,4/1/2013 19:58,2024-12-20T22:38:27Z,4281,41298,20474,1505,5691,224,0.05,156,1/16/2012 21:49,12/6/2024 17:47,4707,0,20474,social
rahuldkjain/github-profile-readme-generator,22288,373,152,294,446,JavaScript,FALSE,https://github.com/rahuldkjain/github-profile-readme-generator,14.66,TRUE,10/25/2020 13:21,2022-04-16T12:34:11Z,537,87412,36,462,134,83,0.09,27,2020-07-15 16:50:49 +0530,2022-06-28 19:05:03 +0530,713,0,36,technology
benweet/stackedit,21984,703,17,117,134,JavaScript,FALSE,https://github.com/benweet/stackedit,36.65,TRUE,2/11/2018 12:32,2022-10-30T13:15:21Z,1722,51154,1109,113,210,9,2.58,39,2017-07-23 19:42:08 +0100,2023-05-27 14:22:50 +0100,2133,0,1109,finance
apexcharts/apexcharts.js,14610,294,0,490,490,JavaScript,FALSE,https://github.com/apexcharts/apexcharts.js,88.38,TRUE,8/3/2018 19:29,2021-09-09T10:24:58Z,1132,185136,609,29,3427,197,0.18,67,2018-07-24 20:56:09 +0530,2025-03-10 05:44:40 +0530,2420,0,609,gaming
4ian/GDevelop,12808,489,81,4092,4173,JavaScript,FALSE,https://github.com/4ian/GDevelop,819.11,TRUE,7/30/2014 20:11,2025-02-14T18:34:09Z,3851,789818,3344,1331,8000,91,0.34,338,2010-01-24 19:08:29 +0000,2025-03-14 14:26:06 +0100,5527,777,2567,finance
ccxt/ccxt,34528,1382,475,14090,14565,Python,FALSE,https://github.com/ccxt/ccxt,4250.92,TRUE,7/3/2017 17:12,2025-02-05T21:38:02Z,2774,3325782,351037,121,86234,351,0.08,250,2017-05-14 18:41:57 +0300,2025-03-16 19:59:48 +0000,2863,650,356208,technology
facebook/prophet,18854,441,7,462,469,Python,FALSE,https://github.com/facebook/prophet,65.96,TRUE,7/4/2017 15:47,2021-01-07T20:24:43Z,1283,154440,425,107,711,163,1.37,67,2/22/2017 15:59,2024-10-20 19:37:57 +1100,2796,0,425,social
secdev/scapy,11066,126,56,2929,2985,Python,FALSE,https://github.com/secdev/scapy,85.12,TRUE,1/12/2016 10:39,2021-05-21T13:10:17Z,1956,162062,86478,1619,4987,351,0.32,303,2003-03-26 12:26:13 +0000,2025-03-10 22:14:34 +0100,8020,0,86689,education
EpistasisLab/tpot,9835,298,13,421,434,Python,FALSE,https://github.com/EpistasisLab/tpot,84.88,TRUE,11/13/2015 17:19,2021-03-17T21:53:44Z,1951,81935,199,30,2410,8,0.71,40,3/23/2023 18:59,2/26/2025 9:12,705,199,0,technology
lmcinnes/umap,7620,495,25,266,291,Python,FALSE,https://github.com/lmcinnes/umap,64.38,TRUE,11/27/2017 3:02,2021-07-26T16:20:00Z,1337,124666,271,135,1730,124,0.56,148,7/1/2017 21:11,2/28/2025 16:29,2798,0,271,technology
Dolibarr/dolibarr,5714,1183,212,23869,24081,PHP,FALSE,https://github.com/Dolibarr/dolibarr,1485,TRUE,9/8/2013 21:38,2025-02-14T23:34:48Z,4177,1872926,89233,37414,105251,281,0.48,3624,2002-04-29 17:53:37 +0000,2025-03-17 20:36:32 +0100,8358,531,89011,social
salesagility/SuiteCRM,4683,1616,394,4927,5321,PHP,FALSE,https://github.com/salesagility/SuiteCRM,140.88,TRUE,3/24/2016 9:31,2023-11-14T11:06:57Z,2791,825655,2037,2282,14504,199,0.45,873,2013-09-23 20:30:44 +0100,2025-03-14 17:38:45 +0000,4189,0,2037,technology
opensourcepos/opensourcepos,3553,297,7,767,774,PHP,FALSE,https://github.com/opensourcepos/opensourcepos,54.42,TRUE,4/6/2015 13:13,2025-02-15T00:20:24Z,3602,108998,1490,449,5864,193,1.6,356,2011-06-08 11:42:32 +0000,2025-03-11 21:08:11 +0100,5025,325,1165,education
changeweb/Unifiedtransform,2872,137,34,203,237,PHP,FALSE,https://github.com/changeweb/Unifiedtransform,11.38,TRUE,4/23/2019 8:43,2023-01-17T04:46:06Z,1364,25684,96,245,323,20,1.04,31,2019-03-12 14:34:53 +0600,2024-12-04 09:42:00 +0600,2093,0,96,technology
humanmade/S3-Uploads,1988,170,7,214,221,PHP,FALSE,https://github.com/humanmade/S3-Uploads,10.16,TRUE,6/1/2015 21:43,2025-02-12T14:24:36Z,3543,2226,420,70,442,54,0.55,98,2013-11-21 12:09:32 +1100,2/12/2025 9:22,4101,0,420,technology
SoftEtherVPN/SoftEtherVPN,11987,258,11,822,833,C,FALSE,https://github.com/SoftEtherVPN/SoftEtherVPN,528.27,TRUE,12/3/2017 19:47,2021-05-09T12:58:33Z,1252,398395,2197,194,1865,108,1.44,326,1/2/2014 4:40,2025-02-17 16:40:43 +0100,4064,0,2197,technology
openresty/lua-nginx-module,11407,372,40,968,1008,C,FALSE,https://github.com/openresty/lua-nginx-module,15.3,TRUE,5/15/2016 7:18,2025-02-13T09:37:30Z,3196,51477,300,3050,878,140,0.2,154,2010-04-11 23:46:06 +0800,2025-03-07 19:24:50 +0800,5443,0,300,technology
openwall/john,10799,475,4,2393,2397,C,FALSE,https://github.com/openwall/john,129.96,TRUE,10/24/2013 12:13,2021-02-05T08:29:06Z,2660,591616,994,5601,11283,167,0.11,116,2002-04-10 14:13:24 +0000,2025-03-16 18:16:22 +0100,8376,0,994,technology
jemalloc/jemalloc,9752,361,26,1414,1440,C,FALSE,https://github.com/jemalloc/jemalloc,12.29,TRUE,7/7/2016 20:16,2025-02-14T21:25:35Z,3144,79540,34733,1386,2154,153,0.62,120,6/22/2009 12:08,3/13/2025 17:15,5743,0,35143,technology
Mbed-TLS/mbedtls,5691,1532,268,5579,5847,C,FALSE,https://github.com/Mbed-TLS/mbedtls,128.48,TRUE,4/17/2014 15:24,2024-09-19T00:58:52Z,3807,114613,3276,2187,30555,322,0.03,479,2009-01-03 21:22:43 +0000,2025-03-14 13:32:28 +0000,5913,8,3271,technology
ptitSeb/box64,4233,349,4,1150,1154,C,FALSE,https://github.com/ptitSeb/box64,37.38,TRUE,9/5/2021 11:19,2021-12-13T06:54:50Z,98,413367,462,1367,4735,95,0.15,72,2020-12-01 10:42:53 +0100,2025-03-15 15:45:56 +0100,1565,0,464,technology
cloudius-systems/osv,4137,318,5,134,139,C,FALSE,https://github.com/cloudius-systems/osv,22.62,TRUE,12/6/2019 5:04,2023-08-14T07:59:04Z,1347,406464,1643,7852,892,109,0.04,142,2012-12-01 10:02:00 +0200,2025-03-04 15:42:31 +0200,4476,0,1599,technology
FRRouting/frr,3525,589,230,13730,13960,C,FALSE,https://github.com/FRRouting/frr,150.53,TRUE,4/12/2021 20:56,2021-10-04T10:45:33Z,174,1075544,11031,23649,14489,285,0.05,173,2002-12-13 20:15:29 +0000,2025-03-16 15:14:55 +0100,8128,0,11031,social
ptitSeb/box86,3465,170,0,278,278,C,FALSE,https://github.com/ptitSeb/box86,16.99,TRUE,9/5/2021 12:46,2021-12-11T17:31:13Z,97,170294,263,3709,1348,79,0.08,38,2018-04-28 15:07:26 +0200,2025-03-07 16:59:22 +0100,2505,235,28,technology
hanwckf/rt-n56u,3308,304,22,196,218,C,FALSE,https://github.com/hanwckf/rt-n56u,1125.08,TRUE,10/29/2017 13:19,2020-11-27T04:03:32Z,1124,18146208,15174,4398,1275,172,3.27,227,2002-12-13 20:15:29 +0000,2025-03-16 15:14:55 +0100,8128,635,10396,social
NLnetLabs/unbound,3291,329,40,319,359,C,FALSE,https://github.com/NLnetLabs/unbound,99.97,TRUE,4/18/2019 9:30,2021-04-06T06:58:47Z,718,203287,11755,4901,2995,106,2.61,393,2007-01-03 08:53:52 +0000,2025-03-16 09:02:20 +0100,6646,0,11767,teachnology
ivmai/bdwgc,3091,169,0,171,171,C,FALSE,https://github.com/ivmai/bdwgc,29.18,TRUE,8/10/2016 12:16,2025-02-09T21:14:55Z,3105,50210,1642,1972,3902,160,0.99,757,2011-07-26 14:48:42 +0400,2025-03-01 15:45:49 +0300,4967,591,1051,technology
checkpoint-restore/criu,3082,239,34,1116,1150,C,FALSE,https://github.com/checkpoint-restore/criu,20.76,TRUE,9/30/2014 17:51,2021-06-22T13:08:46Z,2456,161187,97172,4704,6833,148,0.16,263,2011-09-23 12:00:45 +0400,3/16/2025 19:56,4923,0,79635,technology
civetweb/civetweb,2967,177,7,524,531,C,FALSE,https://github.com/civetweb/civetweb,27.55,TRUE,3/11/2013 14:25,2023-10-15T17:04:22Z,3870,652248,10902,670,5017,223,7.17,425,2010-05-03 21:46:42 +0100,2025-02-27 22:51:07 +0100,5414,0,10902,social
rizinorg/rizin,2796,472,51,3583,3634,C,FALSE,https://github.com/rizinorg/rizin,149.35,TRUE,6/13/2014 9:56,2025-02-13T22:29:01Z,3898,958877,258002,4852,24604,355,1.14,1182,2009-02-05 22:08:46 +0100,2025-03-16 00:17:08 +0800,5881,0,259469,technology
simd-everywhere/simde,2525,142,9,852,861,C,FALSE,https://github.com/simd-everywhere/simde,37.38,TRUE,4/14/2017 21:27,2023-12-14T17:34:29Z,2434,835690,677159,44,3080,83,2.98,604,3/28/2017 12:14,2025-03-13 08:56:20 +0100,2906,488,676671,technology
cc65/cc65,2375,230,22,1368,1390,C,FALSE,https://github.com/cc65/cc65,29.08,TRUE,5/2/2013 11:32,2021-10-22T23:24:27Z,3095,286413,142690,5516,5835,110,0.77,312,2000-05-28 13:40:48 +0000,2025-03-14 16:43:39 +0100,9056,0,142690,technology
flame/blis,2372,112,27,374,401,C,FALSE,https://github.com/flame/blis,48.44,TRUE,8/21/2015 16:24,2024-11-29T00:27:34Z,3387,415125,41704,541,1846,65,0.51,112,12/3/2012 12:36,3/2/2025 9:08,4471,0,41135,technology
vedderb/bldc,2323,206,39,443,482,C,FALSE,https://github.com/vedderb/bldc,86.39,TRUE,1/25/2019 22:39,2021-05-06T17:22:18Z,831,1235428,315,293,2963,79,0.01,12,2014-01-09 15:20:26 +0100,2025-03-10 17:58:02 +0100,4078,0,315,finance
open-quantum-safe/liboqs,2058,100,9,1144,1153,C,FALSE,https://github.com/open-quantum-safe/liboqs,149.17,TRUE,10/1/2016 20:10,2025-02-10T21:59:21Z,3054,383569,4936,26,1528,93,14.76,478,8/11/2016 23:16,3/14/2025 11:53,3136,0,5635,technology
CoatiSoftware/Sourcetrail,15162,354,0,190,190,C++,FALSE,https://github.com/CoatiSoftware/Sourcetrail,289.95,TRUE,12/17/2019 10:04,2021-12-13T18:51:05Z,727,332131,117782,2561,199,37,0.35,124,2014-02-03 15:55:58 +0100,2021-12-13 19:24:17 +0100,2870,0,117776,entertainment
apache/incubator-weex,13727,248,16,2382,2398,C++,FALSE,https://github.com/apache/incubator-weex,276.11,TRUE,12/28/2016 7:01,2021-05-31T11:24:52Z,1615,443038,150744,4584,7442,192,0.64,1157,2016-03-11 18:18:12 +0800,2021-05-31 17:00:47 +0800,1906,0,150744,technology
mapeditor/tiled,11492,738,50,1101,1151,C++,FALSE,https://github.com/mapeditor/tiled,99.48,TRUE,9/13/2012 12:36,2022-03-10T21:57:22Z,3465,450595,6680,998,5851,367,0.84,521,2008-05-05 20:19:13 +0200,2025-03-14 16:07:12 +0000,6156,741,5941,technology
zeromq/libzmq,9932,340,10,2853,2863,C++,FALSE,https://github.com/zeromq/libzmq,23.5,TRUE,5/21/2013 7:32,2021-08-26T17:53:56Z,3019,88685,1154,2308,6262,361,0.41,378,2009-07-29 12:07:54 +0200,2024-12-30 17:49:16 +0000,5633,360,794,ecommerce
justcallmekoko/ESP32Marauder,6853,240,25,187,212,C++,FALSE,https://github.com/justcallmekoko/ESP32Marauder,453.55,TRUE,1/31/2020 15:30,2021-05-21T01:45:25Z,475,24466,1232,80,898,19,3.57,204,9/13/2019 14:37,2/7/2025 19:21,1974,0,1232,social
OSGeo/gdal,5088,537,27,7804,7831,C++,FALSE,https://github.com/OSGeo/gdal,395.85,TRUE,10/6/2012 23:32,2024-08-26T13:06:28Z,4341,2019826,4753,22538,36201,369,0.2,1361,1998-10-17 19:24:36 +0000,2025-03-16 21:02:26 +0100,9647,2749,1999,technology
Tencent/TNN,4457,313,9,1032,1041,C++,FALSE,https://github.com/Tencent/TNN,57.77,TRUE,7/6/2020 6:41,2021-12-07T08:29:48Z,519,698518,159046,205,2306,69,1.08,142,2020-05-29 19:11:34 +0800,2023-09-27 17:15:24 +0800,1215,0,159046,social
apache/incubator-pagespeed-ngx,4360,354,0,642,642,C++,FALSE,https://github.com/apache/incubator-pagespeed-ngx,78.87,TRUE,5/2/2016 20:14,2022-06-30T19:20:41Z,2249,8556,4124,1026,111,41,0.16,19,2012-06-23 22:13:06 +0200,2023-04-21 16:50:27 +0200,3953,0,4124,technology
USCiLab/cereal,4305,326,53,165,218,C++,FALSE,https://github.com/USCiLab/cereal,18.04,TRUE,3/12/2014 0:02,2021-06-22T12:03:22Z,2659,32492,606,379,602,73,1.43,80,6/11/2013 18:18,1/19/2025 21:00,4240,0,606,technology
giuspen/cherrytree,3515,1012,1,465,466,C++,FALSE,https://github.com/giuspen/cherrytree,75.72,TRUE,4/20/2020 8:52,2020-11-21T16:55:52Z,215,397557,329,2475,1669,73,0.23,104,2010-11-18 21:03:57 +0100,2025-03-15 20:56:45 +0000,5231,0,329,technology
visualboyadvance-m/visualboyadvance-m,3444,279,7,440,447,C++,FALSE,https://github.com/visualboyadvance-m/visualboyadvance-m,60.68,TRUE,6/27/2018 2:15,2021-05-12T18:18:22Z,1050,248878,1227,1817,1588,64,0.85,156,2007-10-30 19:04:22 +0000,3/15/2025 13:39,6346,0,1227,technology
slic3r/Slic3r,3403,1159,43,547,590,C++,FALSE,https://github.com/slic3r/Slic3r,163.54,TRUE,9/19/2013 8:42,2023-09-16T07:30:26Z,3648,139246,10384,2147,4240,101,0.22,316,2011-09-01 21:06:28 +0200,2022-10-28 16:18:24 +0200,4074,0,10384,technology
GarageGames/Torque3D,3348,373,64,1549,1613,C++,FALSE,https://github.com/GarageGames/Torque3D,199.2,TRUE,7/9/2018 20:17,2020-07-01T00:09:57Z,722,1704701,60317,3328,212,80,0.17,69,9/18/2012 13:33,4/3/2022 15:16,3483,0,60317,technology
Haivision/srt,3195,353,90,1635,1725,C++,FALSE,https://github.com/Haivision/srt,14.74,TRUE,6/23/2017 22:51,2025-02-14T16:00:49Z,2792,75370,13823,63,1883,115,0.46,104,4/21/2017 18:42,2025-03-14 09:45:21 +0100,2883,114,13741,entertainment
ruby/ruby,22346,443,442,12247,12689,Ruby,FALSE,https://github.com/ruby/ruby,316.52,TRUE,11/26/2011 6:26,2025-02-14T23:28:32Z,4829,1668279,649968,24729,65548,369,0.73,4205,1998-01-16 12:13:05 +0000,3/16/2025 16:00,9921,3775,646739,technology
