repo_name,stars,issues,open_prs,closed_prs,total_prs,language,is_fork,url,size_mb,uses_travis,travis_start_date,travis_end_date,travis_duration_days,total_LOC,test_LOC
changeweb/Unifiedtransform,2872,137,34,203,237,PHP,FALSE,https://github.com/changeweb/Unifiedtransform,11.38,TRUE,2019-04-23 8:43:56,2023-01-17T04:46:06Z,1364,25684,8
humanmade/S3-Uploads,1988,170,7,214,221,PHP,FALSE,https://github.com/humanmade/S3-Uploads,10.16,TRUE,2015-06-01 21:43:39,2025-02-12T14:24:36Z,3543,2226,19
SoftEtherVPN/SoftEtherVPN,11987,258,11,822,833,C,FALSE,https://github.com/SoftEtherVPN/SoftEtherVPN,528.27,TRUE,2017-12-03 19:47:31,2021-05-09T12:58:33Z,1252,398395,60
openresty/lua-nginx-module,11407,372,40,968,1008,C,FALSE,https://github.com/openresty/lua-nginx-module,15.3,TRUE,2016-05-15 7:18:25,2025-02-13T09:37:30Z,3196,51477,163
openwall/john,10799,475,4,2393,2397,C,FALSE,https://github.com/openwall/john,129.96,TRUE,2013-10-24 12:13:53,2021-02-05T08:29:06Z,2660,591616,62
jemalloc/jemalloc,9752,361,26,1414,1440,C,FALSE,https://github.com/jemalloc/jemalloc,12.29,TRUE,2016-07-07 20:16:05,2025-02-14T21:25:35Z,3144,79540,374
Mbed-TLS/mbedtls,5691,1532,268,5579,5847,C,FALSE,https://github.com/Mbed-TLS/mbedtls,128.48,TRUE,2014-04-17 15:24:27,2024-09-19T00:58:52Z,3807,114613,28
ptitSeb/box64,4233,349,4,1150,1154,C,FALSE,https://github.com/ptitSeb/box64,37.38,TRUE,2021-09-05 11:19:28,2021-12-13T06:54:50Z,98,413367,24
cloudius-systems/osv,4137,318,5,134,139,C,FALSE,https://github.com/cloudius-systems/osv,22.62,TRUE,2019-12-06 5:04:24,2023-08-14T07:59:04Z,1347,406464,72
FRRouting/frr,3525,589,230,13730,13960,C,FALSE,https://github.com/FRRouting/frr,150.53,TRUE,2021-04-12 20:56:38,2021-10-04T10:45:33Z,174,1075544,40
ptitSeb/box86,3465,170,0,278,278,C,FALSE,https://github.com/ptitSeb/box86,16.99,TRUE,2021-09-05 12:46:00,2021-12-11T17:31:13Z,97,170294,22
hanwckf/rt-n56u,3308,304,22,196,218,C,FALSE,https://github.com/hanwckf/rt-n56u,1125.08,TRUE,2017-10-29 13:19:49,2020-11-27T04:03:32Z,1124,18146208,59
NLnetLabs/unbound,3291,329,40,319,359,C,FALSE,https://github.com/NLnetLabs/unbound,99.97,TRUE,2019-04-18 9:30:35,2021-04-06T06:58:47Z,718,203287,374
ivmai/bdwgc,3091,169,0,171,171,C,FALSE,https://github.com/ivmai/bdwgc,29.18,TRUE,2016-08-10 12:16:28,2025-02-09T21:14:55Z,3105,50210,887
checkpoint-restore/criu,3082,239,34,1116,1150,C,FALSE,https://github.com/checkpoint-restore/criu,20.76,TRUE,2014-09-30 17:51:16,2021-06-22T13:08:46Z,2456,161187,35
civetweb/civetweb,2967,177,7,524,531,C,FALSE,https://github.com/civetweb/civetweb,27.55,TRUE,2013-03-11 14:25:11,2023-10-15T17:04:22Z,3870,652248,131
rizinorg/rizin,2796,472,51,3583,3634,C,FALSE,https://github.com/rizinorg/rizin,149.35,TRUE,2014-06-13 9:56:17,2025-02-13T22:29:01Z,3898,958877,50
simd-everywhere/simde,2525,142,9,852,861,C,FALSE,https://github.com/simd-everywhere/simde,37.38,TRUE,2017-04-14 21:27:50,2023-12-14T17:34:29Z,2434,835690,43
cc65/cc65,2375,230,22,1368,1390,C,FALSE,https://github.com/cc65/cc65,29.08,TRUE,2013-05-02 11:32:09,2021-10-22T23:24:27Z,3095,286413,23
flame/blis,2372,112,27,374,401,C,FALSE,https://github.com/flame/blis,48.44,TRUE,2015-08-21 16:24:28,2024-11-29T00:27:34Z,3387,415125,132
vedderb/bldc,2323,206,39,443,482,C,FALSE,https://github.com/vedderb/bldc,86.39,TRUE,2019-01-25 22:39:59,2021-05-06T17:22:18Z,831,1235428,13
open-quantum-safe/liboqs,2058,100,9,1144,1153,C,FALSE,https://github.com/open-quantum-safe/liboqs,149.17,TRUE,2016-10-01 20:10:13,2025-02-10T21:59:21Z,3054,383569,21
CoatiSoftware/Sourcetrail,15162,354,0,190,190,C++,FALSE,https://github.com/CoatiSoftware/Sourcetrail,289.95,TRUE,2019-12-17 10:04:02,2021-12-13T18:51:05Z,727,332131,22
apache/incubator-weex,13727,248,16,2382,2398,C++,FALSE,https://github.com/apache/incubator-weex,276.11,TRUE,2016-12-28 7:01:04,2021-05-31T11:24:52Z,1615,443038,212
mapeditor/tiled,11492,738,50,1101,1151,C++,FALSE,https://github.com/mapeditor/tiled,99.48,TRUE,2012-09-13 12:36:39,2022-03-10T21:57:22Z,3465,450595,113
zeromq/libzmq,9932,340,10,2853,2863,C++,FALSE,https://github.com/zeromq/libzmq,23.5,TRUE,2013-05-21 7:32:13,2021-08-26T17:53:56Z,3019,88685,36
