repo_name,stars,issues,open_prs,closed_prs,total_prs,language,is_fork,url,size_mb,uses_travis,travis_start_date,travis_end_date,travis_duration_days,total_LOC,test_LOC,reduced_test_LOC_HGS
rahuldkjain/github-profile-readme-generator,22288,373,152,294,446,JavaScript,False,https://github.com/rahuldkjain/github-profile-readme-generator,14.66,True,2020-10-25 13:21:22,2022-04-16T12:34:11Z,268.5,87412,6,3
benweet/stackedit,21984,703,17,117,134,JavaScript,False,https://github.com/benweet/stackedit,36.65,True,2018-02-11 12:32:16,2022-10-30T13:15:21Z,1095.8181818181818,51154,22,14
apexcharts/apexcharts.js,14610,294,0,490,490,JavaScript,False,https://github.com/apexcharts/apexcharts.js,88.38,True,2018-08-03 19:29:53,2021-09-09T10:24:58Z,707.5,185136,16,10
4ian/GDevelop,12808,489,81,4092,4173,JavaScript,False,https://github.com/4ian/GDevelop,819.11,True,2014-07-30 20:11:29,2025-02-14T18:34:09Z,2503.15,789818,80,52
ccxt/ccxt,34528,1382,475,14090,14565,Python,False,https://github.com/ccxt/ccxt,4250.92,True,2017-07-03 17:12:58,2025-02-05T21:38:02Z,1803.1000000000001,3325782,100,65
facebook/prophet,18854,441,7,462,469,Python,False,https://github.com/facebook/prophet,65.96,True,2017-07-04 15:47:14,2021-01-07T20:24:43Z,832.2162162162163,154440,37,24
secdev/scapy,11066,126,56,2929,2985,Python,False,https://github.com/secdev/scapy,85.12,True,2016-01-12 10:39:05,2021-05-21T13:10:17Z,1210.857142857143,162062,21,13
EpistasisLab/tpot,9835,298,13,421,434,Python,False,https://github.com/EpistasisLab/tpot,84.88,True,2015-11-13 17:19:21,2021-03-17T21:53:44Z,1187.5652173913045,81935,23,14
lmcinnes/umap,7620,495,25,266,291,Python,False,https://github.com/lmcinnes/umap,64.38,True,2017-11-27 3:02:18,2021-07-26T16:20:00Z,840.4,124666,35,22
Dolibarr/dolibarr,5714,1183,212,23869,24081,PHP,False,https://github.com/Dolibarr/dolibarr,1485.0,True,2013-09-08 21:38:55,2025-02-14T23:34:48Z,2712.2466442953023,1872926,596,387
salesagility/SuiteCRM,4683,1616,394,4927,5321,PHP,False,https://github.com/salesagility/SuiteCRM,140.88,True,2016-03-24 9:31:40,2023-11-14T11:06:57Z,1811.701754385965,825655,114,74
opensourcepos/opensourcepos,3553,297,7,767,774,PHP,False,https://github.com/opensourcepos/opensourcepos,54.42,True,2015-04-06 13:13:36,2025-02-15T00:20:24Z,2315.571428571429,108998,70,45
changeweb/Unifiedtransform,2872,137,34,203,237,PHP,False,https://github.com/changeweb/Unifiedtransform,11.38,True,2019-04-23 8:43:56,2023-01-17T04:46:06Z,852.5,25684,8,5
humanmade/S3-Uploads,1988,170,7,214,221,PHP,False,https://github.com/humanmade/S3-Uploads,10.16,True,2015-06-01 21:43:39,2025-02-12T14:24:36Z,2237.684210526316,2226,19,12
SoftEtherVPN/SoftEtherVPN,11987,258,11,822,833,C,False,https://github.com/SoftEtherVPN/SoftEtherVPN,528.27,True,2017-12-03 19:47:31,2021-05-09T12:58:33Z,813.8000000000001,398395,60,39
openresty/lua-nginx-module,11407,372,40,968,1008,C,False,https://github.com/openresty/lua-nginx-module,15.3,True,2016-05-15 7:18:25,2025-02-13T09:37:30Z,2058.7730061349694,51477,163,105
openwall/john,10799,475,4,2393,2397,C,False,https://github.com/openwall/john,129.96,True,2013-10-24 12:13:53,2021-02-05T08:29:06Z,1716.1290322580644,591616,62,40
jemalloc/jemalloc,9752,361,26,1414,1440,C,False,https://github.com/jemalloc/jemalloc,12.29,True,2016-07-07 20:16:05,2025-02-14T21:25:35Z,2042.7593582887703,79540,374,243
Mbed-TLS/mbedtls,5691,1532,268,5579,5847,C,False,https://github.com/Mbed-TLS/mbedtls,128.48,True,2014-04-17 15:24:27,2024-09-19T00:58:52Z,2447.357142857143,114613,28,18
ptitSeb/box64,4233,349,4,1150,1154,C,False,https://github.com/ptitSeb/box64,37.38,True,2021-09-05 11:19:28,2021-12-13T06:54:50Z,61.25,413367,24,15
cloudius-systems/osv,4137,318,5,134,139,C,False,https://github.com/cloudius-systems/osv,22.62,True,2019-12-06 5:04:24,2023-08-14T07:59:04Z,860.5833333333333,406464,72,46
FRRouting/frr,3525,589,230,13730,13960,C,False,https://github.com/FRRouting/frr,150.53,True,2021-04-12 20:56:38,2021-10-04T10:45:33Z,113.10000000000001,1075544,40,26
ptitSeb/box86,3465,170,0,278,278,C,False,https://github.com/ptitSeb/box86,16.99,True,2021-09-05 12:46:00,2021-12-11T17:31:13Z,61.72727272727273,170294,22,14
hanwckf/rt-n56u,3308,304,22,196,218,C,False,https://github.com/hanwckf/rt-n56u,1125.08,True,2017-10-29 13:19:49,2020-11-27T04:03:32Z,723.9322033898304,18146208,59,38
NLnetLabs/unbound,3291,329,40,319,359,C,False,https://github.com/NLnetLabs/unbound,99.97,True,2019-04-18 9:30:35,2021-04-06T06:58:47Z,466.5080213903744,203287,374,243
ivmai/bdwgc,3091,169,0,171,171,C,False,https://github.com/ivmai/bdwgc,29.18,True,2016-08-10 12:16:28,2025-02-09T21:14:55Z,2016.324689966178,50210,887,576
