repo_name,stars,issues,open_prs,closed_prs,total_prs,language,is_fork,url,size_mb,uses_travis,travis_start_date,travis_end_date,travis_duration_days,total_LOC,test_LOC,reduced_test_LOC_GE
secdev/scapy,11066,126,56,2929,2985,Python,False,https://github.com/secdev/scapy,85.12,True,2016-01-12 10:39:05,2021-05-21T13:10:17Z,1956,162062,21,15
EpistasisLab/tpot,9835,298,13,421,434,Python,False,https://github.com/EpistasisLab/tpot,84.88,True,2015-11-13 17:19:21,2021-03-17T21:53:44Z,1951,81935,23,17
lmcinnes/umap,7620,495,25,266,291,Python,False,https://github.com/lmcinnes/umap,64.38,True,2017-11-27 3:02:18,2021-07-26T16:20:00Z,1337,124666,35,26
Dolibarr/dolibarr,5714,1183,212,23869,24081,PHP,False,https://github.com/Dolibarr/dolibarr,1485.0,True,2013-09-08 21:38:55,2025-02-14T23:34:48Z,4177,1872926,596,447
salesagility/SuiteCRM,4683,1616,394,4927,5321,PHP,False,https://github.com/salesagility/SuiteCRM,140.88,True,2016-03-24 9:31:40,2023-11-14T11:06:57Z,2791,825655,114,85
opensourcepos/opensourcepos,3553,297,7,767,774,PHP,False,https://github.com/opensourcepos/opensourcepos,54.42,True,2015-04-06 13:13:36,2025-02-15T00:20:24Z,3602,108998,70,52
changeweb/Unifiedtransform,2872,137,34,203,237,PHP,False,https://github.com/changeweb/Unifiedtransform,11.38,True,2019-04-23 8:43:56,2023-01-17T04:46:06Z,1364,25684,8,6
humanmade/S3-Uploads,1988,170,7,214,221,PHP,False,https://github.com/humanmade/S3-Uploads,10.16,True,2015-06-01 21:43:39,2025-02-12T14:24:36Z,3543,2226,19,14
SoftEtherVPN/SoftEtherVPN,11987,258,11,822,833,C,False,https://github.com/SoftEtherVPN/SoftEtherVPN,528.27,True,2017-12-03 19:47:31,2021-05-09T12:58:33Z,1252,398395,60,45
openresty/lua-nginx-module,11407,372,40,968,1008,C,False,https://github.com/openresty/lua-nginx-module,15.3,True,2016-05-15 7:18:25,2025-02-13T09:37:30Z,3196,51477,163,122
openwall/john,10799,475,4,2393,2397,C,False,https://github.com/openwall/john,129.96,True,2013-10-24 12:13:53,2021-02-05T08:29:06Z,2660,591616,62,46
jemalloc/jemalloc,9752,361,26,1414,1440,C,False,https://github.com/jemalloc/jemalloc,12.29,True,2016-07-07 20:16:05,2025-02-14T21:25:35Z,3144,79540,374,280
Mbed-TLS/mbedtls,5691,1532,268,5579,5847,C,False,https://github.com/Mbed-TLS/mbedtls,128.48,True,2014-04-17 15:24:27,2024-09-19T00:58:52Z,3807,114613,28,21
ptitSeb/box64,4233,349,4,1150,1154,C,False,https://github.com/ptitSeb/box64,37.38,True,2021-09-05 11:19:28,2021-12-13T06:54:50Z,98,413367,24,18
cloudius-systems/osv,4137,318,5,134,139,C,False,https://github.com/cloudius-systems/osv,22.62,True,2019-12-06 5:04:24,2023-08-14T07:59:04Z,1347,406464,72,54
FRRouting/frr,3525,589,230,13730,13960,C,False,https://github.com/FRRouting/frr,150.53,True,2021-04-12 20:56:38,2021-10-04T10:45:33Z,174,1075544,40,30
ptitSeb/box86,3465,170,0,278,278,C,False,https://github.com/ptitSeb/box86,16.99,True,2021-09-05 12:46:00,2021-12-11T17:31:13Z,97,170294,22,16
hanwckf/rt-n56u,3308,304,22,196,218,C,False,https://github.com/hanwckf/rt-n56u,1125.08,True,2017-10-29 13:19:49,2020-11-27T04:03:32Z,1124,18146208,59,44
NLnetLabs/unbound,3291,329,40,319,359,C,False,https://github.com/NLnetLabs/unbound,99.97,True,2019-04-18 9:30:35,2021-04-06T06:58:47Z,718,203287,374,280
ivmai/bdwgc,3091,169,0,171,171,C,False,https://github.com/ivmai/bdwgc,29.18,True,2016-08-10 12:16:28,2025-02-09T21:14:55Z,3105,50210,887,665
checkpoint-restore/criu,3082,239,34,1116,1150,C,False,https://github.com/checkpoint-restore/criu,20.76,True,2014-09-30 17:51:16,2021-06-22T13:08:46Z,2456,161187,35,26
civetweb/civetweb,2967,177,7,524,531,C,False,https://github.com/civetweb/civetweb,27.55,True,2013-03-11 14:25:11,2023-10-15T17:04:22Z,3870,652248,131,98
rizinorg/rizin,2796,472,51,3583,3634,C,False,https://github.com/rizinorg/rizin,149.35,True,2014-06-13 9:56:17,2025-02-13T22:29:01Z,3898,958877,50,37
simd-everywhere/simde,2525,142,9,852,861,C,False,https://github.com/simd-everywhere/simde,37.38,True,2017-04-14 21:27:50,2023-12-14T17:34:29Z,2434,835690,43,32
cc65/cc65,2375,230,22,1368,1390,C,False,https://github.com/cc65/cc65,29.08,True,2013-05-02 11:32:09,2021-10-22T23:24:27Z,3095,286413,23,17
flame/blis,2372,112,27,374,401,C,False,https://github.com/flame/blis,48.44,True,2015-08-21 16:24:28,2024-11-29T00:27:34Z,3387,415125,132,99
vedderb/bldc,2323,206,39,443,482,C,False,https://github.com/vedderb/bldc,86.39,True,2019-01-25 22:39:59,2021-05-06T17:22:18Z,831,1235428,13,9
open-quantum-safe/liboqs,2058,100,9,1144,1153,C,False,https://github.com/open-quantum-safe/liboqs,149.17,True,2016-10-01 20:10:13,2025-02-10T21:59:21Z,3054,383569,21,15
CoatiSoftware/Sourcetrail,15162,354,0,190,190,C++,False,https://github.com/CoatiSoftware/Sourcetrail,289.95,True,2019-12-17 10:04:02,2021-12-13T18:51:05Z,727,332131,22,16
apache/incubator-weex,13727,248,16,2382,2398,C++,False,https://github.com/apache/incubator-weex,276.11,True,2016-12-28 7:01:04,2021-05-31T11:24:52Z,1615,443038,212,159
mapeditor/tiled,11492,738,50,1101,1151,C++,False,https://github.com/mapeditor/tiled,99.48,True,2012-09-13 12:36:39,2022-03-10T21:57:22Z,3465,450595,113,84
zeromq/libzmq,9932,340,10,2853,2863,C++,False,https://github.com/zeromq/libzmq,23.5,True,2013-05-21 7:32:13,2021-08-26T17:53:56Z,3019,88685,36,27
justcallmekoko/ESP32Marauder,6853,240,25,187,212,C++,False,https://github.com/justcallmekoko/ESP32Marauder,453.55,True,2020-01-31 15:30:22,2021-05-21T01:45:25Z,475,24466,65,48
OSGeo/gdal,5088,537,27,7804,7831,C++,False,https://github.com/OSGeo/gdal,395.85,True,2012-10-06 23:32:07,2024-08-26T13:06:28Z,4341,2019826,64,48
Tencent/TNN,4457,313,9,1032,1041,C++,False,https://github.com/Tencent/TNN,57.77,True,2020-07-06 6:41:21,2021-12-07T08:29:48Z,519,698518,66,49
apache/incubator-pagespeed-ngx,4360,354,0,642,642,C++,False,https://github.com/apache/incubator-pagespeed-ngx,78.87,True,2016-05-02 20:14:16,2022-06-30T19:20:41Z,2249,8556,33,24
USCiLab/cereal,4305,326,53,165,218,C++,False,https://github.com/USCiLab/cereal,18.04,True,2014-03-12 0:02:36,2021-06-22T12:03:22Z,2659,32492,232,174
giuspen/cherrytree,3515,1012,1,465,466,C++,False,https://github.com/giuspen/cherrytree,75.72,True,2020-04-20 8:52:26,2020-11-21T16:55:52Z,215,397557,89,66
visualboyadvance-m/visualboyadvance-m,3444,279,7,440,447,C++,False,https://github.com/visualboyadvance-m/visualboyadvance-m,60.68,True,2018-06-27 2:15:22,2021-05-12T18:18:22Z,1050,248878,95,71
slic3r/Slic3r,3403,1159,43,547,590,C++,False,https://github.com/slic3r/Slic3r,163.54,True,2013-09-19 8:42:49,2023-09-16T07:30:26Z,3648,139246,115,86
GarageGames/Torque3D,3348,373,64,1549,1613,C++,False,https://github.com/GarageGames/Torque3D,199.2,True,2018-07-09 20:17:48,2020-07-01T00:09:57Z,722,1704701,38,28
Haivision/srt,3195,353,90,1635,1725,C++,False,https://github.com/Haivision/srt,14.74,True,2017-06-23 22:51:40,2025-02-14T16:00:49Z,2792,75370,82,61
ruby/ruby,22346,443,442,12247,12689,Ruby,False,https://github.com/ruby/ruby,316.52,True,2011-11-26 6:26:44,2025-02-14T23:28:32Z,4829,1668279,99,74
